title,price
"SAMSUNG Galaxy Book4 2024 Business Laptop 15.6"" FHD IPS 10-Core Intel 7 150U 16GB LPDDR4 512GB SSD Intel Graphics Wi-Fi 6 Backlit Keyboard Fingerprint Win11 Home w/ONT 32GB USB",699.
Lenovo IdeaPad Slim 15.6 inch FHD Touch Laptop | AMD Ryzen 7-7730U(Beat i7-1355U) | AMD Radeon Graphics| Fingerprint | Backlit | 16GB RAM | 512GB SSD | Windows 11 Home | Bundle with Stylus Pen,562.
HP Victus 15 Gaming Laptop 15.6” FHD IPS Anti-Glare 144Hz Intel 8-core i5-12450H (Beat i7-11800H) 32GB RAM 1TB SSD GeForce RTX 3050 Backlit B&O Fast Charging Win11 Blue w/ICP Accessory,
"Samsung 16” Galaxy Book5 Pro 360 Copilot+ PC, AI Computer, Intel Core 7 Ultra Processor, 3K AMOLED (2880x1800) Touchscreen, S Pen,120Hz, Dolby Atmos, Student Laptop, Lightweight, All-Day Battery Life","1,349."
"HP Envy x360 2-in-1 14 2024 Business Laptop 14"" FHD IPS Touchscreen 10-Core Intel 5 120U 8GB DDR4 512GB SSD Intel Graphics Wi-Fi 6E Backlit Keyboard Fingerprint Win11 Pro w/ONT 32GB USB",
"ASUS Vivobook 16 Laptop, 16” WUXGA 60Hz Display, Intel Core i5-13420H, Intel Iris Xᵉ Graphics, 16GB Memory, 512GB Storage, Windows 11, Cool Silver, F1605VA-ES56",
"Oemgenuine 2024 Dell Latitude 3550 Notebook 15.6” FHD, Intel 10 Core i5-1335U (Beats i7-1270P), 16GB DDR5 RAM, 512GB NVMe, WiFi 6E, BT, Backlit Keyboard, HD Webcam, RJ-45, Win 11 Pro, Business Laptop",829.
"HP 17.3 inch Touchscreen Laptop, Microsoft Office Pro Lifetime, Intel 10-Core 7 150U(Up to 5.4GHz), 64 GB RAM, 4 TB SSD, 17 inch Touchscreen HD+, Long Battery Life, Fast Charge, Windows 11 Pro",
"SGIN 17.3 Inch Laptop Computer, Win 11 Laptops with Celeron I3 Processor, 4GB DDR3 128GB SSD, 60800mWh Battery, FHD IPS Display, Type-C, HDMI, 5G WiFi, BT4.2, Numpad, for Business and Students",239.
"Acer Aspire 5 15 Slim Laptop | 15.6"" FHD IPS Touch 1920 x 1080 | Intel Core i7-1355U | Intel Iris Xe Graphics | 16GB LPDDR5 | 512GB Gen 4 SSD | Wi-Fi 6E 802.11ax | Backlit Keyboard |",599.
"ASUS VivoBook 15 Business Laptop 15.6"" FHD Anti-Glare AMD Ryzen 3 3250U 8GB RAM 128GB SSD USB-C VGA Camera SonicMaster Win11 w/ICP Accessory",
"HP 255 G10 15.6"" FHD Business Laptop, AMD Ryzen 7 7730U, 32GB RAM, 1TB PCIe SSD, Numeric Keypad, Webcam, Wi-Fi 6, HDMI, Windows 11 Pro, Black",575.
"jumper 16 inch Convertible Laptop, Laptop Computer with IPS FHD 360 Degree Touchscreen, 16GB RAM 640GB Storage, Fingerprint Reader, Backlit Keyboard, Celeron N5095, 53.2WH, 1 Year Office 365",399.
"2025 LX15 Laptop, 15.6-inch FHD (1920 x 1080) Display, Intel N97 Processor, 16GB DDR4 RAM, 512GB SSD, Traditional Laptop Computer, Lightweight, Numeric Keypad, Webcam",369.
